Date,Open,High,Low,Close,Volume,Market Cap
"Jun 14, 2017",1.81,1.94,1.68,1.74,10497200,90657000
"Jun 13, 2017",1.5,1.86,1.5,1.81,10456500,75221500
"Jun 12, 2017",1.67,1.69,1.4,1.51,7492490,83716000
"Jun 11, 2017",1.69,1.73,1.52,1.67,6479410,84426000
"Jun 10, 2017",1.54,2.07,1.53,1.68,17295300,77129000
"Jun 09, 2017",1.36,1.59,1.33,1.55,9728020,67874000
"Jun 08, 2017",1.27,1.36,1.19,1.36,7118290,63677000
"Jun 07, 2017",1.34,1.36,1.27,1.28,2994510,66929500
"Jun 06, 2017",1.28,1.37,1.2,1.34,5234170,63757000
"Jun 05, 2017",1.27,1.35,1.25,1.28,3876920,63267500
"Jun 04, 2017",1.25,1.32,1.22,1.26,2572220,62425500
"Jun 03, 2017",1.36,1.36,1.15,1.26,4049740,68122000
"Jun 02, 2017",1.25,1.4,1.18,1.35,7157890,62290500
"Jun 01, 2017",1.03,1.3,1.01,1.24,8061920,51383000
"May 31, 2017",1.02,1.08,0.966531,1.03,3001020,51167000
"May 30, 2017",0.975403,1.13,0.970573,1.02,5393720,48770200
"May 29, 2017",0.921727,0.974728,0.873447,0.966765,2171000,46086400
"May 28, 2017",0.989557,1.07,0.814832,0.930106,5133830,49477900
"May 27, 2017",0.806824,1.03,0.598245,0.982348,7025920,40341200
"May 26, 2017",1.11,1.22,0.69411,0.826549,6847940,55293000
"May 25, 2017",1.74,1.74,1.01,1.11,12458000,87149500
"May 24, 2017",0.878954,1.9,0.863444,1.76,22900400,43947700
"May 23, 2017",0.721726,0.901805,0.695115,0.877157,3858760,36086300
"May 22, 2017",0.682007,0.742591,0.669175,0.720486,2331300,34100400
"May 21, 2017",0.665434,0.744667,0.618864,0.664141,2621930,33271700
"May 20, 2017",0.638148,0.671513,0.612225,0.665485,1476170,31907400
"May 19, 2017",0.539752,0.682251,0.539752,0.63186,1884600,26987600
"May 18, 2017",0.533423,0.552265,0.514519,0.539481,1201540,26671200
"May 17, 2017",0.464285,0.531643,0.454101,0.531643,1328670,23214200
"May 16, 2017",0.474567,0.474567,0.452551,0.463667,637204,23728400
"May 15, 2017",0.477364,0.4933,0.45415,0.470057,897219,23868200
"May 14, 2017",0.483372,0.490861,0.473253,0.477543,501693,24168600
"May 13, 2017",0.487873,0.491284,0.451528,0.484544,616908,24393600
"May 12, 2017",0.480874,0.508175,0.469682,0.487684,548028,24043700
"May 11, 2017",0.504314,0.520573,0.431391,0.481077,953152,25215700
"May 10, 2017",0.44926,0.541055,0.44926,0.503894,843243,22463000
"May 09, 2017",0.496131,0.501255,0.407576,0.44937,1076450,24806600
"May 08, 2017",0.5303,0.542761,0.486931,0.496572,1025750,26515000
"May 07, 2017",0.585263,0.591143,0.516306,0.535792,1249060,29263200
"May 06, 2017",0.572854,0.59035,0.537649,0.58767,1341720,28642700
"May 05, 2017",0.493833,0.576426,0.470129,0.576426,2660100,24691600
"May 04, 2017",0.345096,0.500403,0.334537,0.500309,2317450,17254800
